contract_type,pseudo_fp,customer_name,master_project_code,maintenance_flag,tbb,fiscal_year,quarter,onsite_revenue,offshore_revenue,total_revenue,onsite_billed_months,offshore_billed_months,total_billed_months,operating_margin,total_cost_of_revenue_direct,total_operating_cost,revenue_productivity,start_date,end_date
FP,true,Hi-Tech,MSCSEFST,Non-Maintenance,,2025,1,0.0,0.0,112.81510837008605,2.3,10.151612903225805,12.451612903225804,69.89203315441904,27.85880072098546,42.92307521566701,9060.3,2024-04-22,2024-06-30
FP,true,Hi-Tech,MSSRFITP,Non-Maintenance,,2025,1,0.0,0.0,400.98315158161114,27.0,39.19784946236559,66.19784946236558,25.921696059257094,301.5306463821181,375.06145552235404,6057.3,2022-07-01,2024-06-30
FP,true,Hi-Tech,MSLEAPSZ,Non-Maintenance,,2025,1,0.0,0.0,362.21979452541075,15.283870967741942,52.792473118279545,68.07634408602149,63.68564869209757,221.4703441529977,298.5341458333132,5320.8,2024-04-01,2024-06-30
FP,true,Hi-Tech,MSRYPHYD,Non-Maintenance,,2025,1,0.0,0.0,551.1682908746366,25.400000000000002,70.05806451612906,95.45806451612904,125.36822061546336,313.8623099614812,425.8000702591732,5773.9,2023-07-01,2024-06-30
FP,true,Hi-Tech,MSCGIHYD,Maintenance,,2025,1,0.0,0.0,1308.5742258739995,37.35483870967742,76.36666666666667,113.7215053763441,799.6838459522514,377.01754727476896,508.89037992174804,11506.8,2022-07-01,2024-06-30
OTM,true,Hi-Tech,MSUOWAI2,Maintenance,TBB-T&M,2025,1,0.0,0.0,8.82352763275038,0.0,3.0,3.0,3.893921365034924,1.3401780102493523,4.929606267715457,2941.2,2023-12-01,2025-06-30
OTM,true,Hi-Tech,MSENSOST,Maintenance,TBB-T&M,2025,2,0.0,0.0,0.0,0.0,0.0,0.0,-2.835787004343417,-0.19994744528979225,2.835787004343417,-nan,2023-09-01,2024-06-30
FP,true,Hi-Tech,MSCXEH31,Non-Maintenance,,2025,2,0.0,0.0,665.5497716216436,17.230107526881717,97.63698924731183,114.86709677419356,238.42372260477322,292.9505716963791,427.12604901687035,5794.1,2024-07-01,2027-06-30
OTM,true,Hi-Tech,MSSCMHST,Non-Maintenance,TBB-T&M,2025,2,0.0,0.0,137.774955191779,0.0,21.80215053763444,21.80215053763444,90.01858352907432,22.27893912892392,47.756371662704666,6319.3,2024-08-01,2026-12-31
FP,true,Hi-Tech,M1CFEGPM,Non-Maintenance,,2025,3,0.0,0.0,918.8707993488528,31.5,100.52903225806452,132.02903225806457,410.9708008151573,370.2223339744062,507.89999853369545,6959.6,2024-07-01,2027-06-30
