fiscal_year,quarter,master_project_code,education_category,employee_count,total_employees,percentage
2022,1,FPL791ST,-,1,1,100.0
2022,1,FPL869HT,-,7,22,31.82
2022,1,FPL869HT,ENG,14,22,63.64
2022,1,FPL869HT,NEG,1,22,4.55
2022,1,FPL870ST,-,9,27,33.33
2022,1,FPL870ST,ENG,16,27,59.26
2022,1,FPL870ST,NEG,2,27,7.41
2022,1,FPLAMPZ3,-,5,14,35.71
2022,1,FPLAMPZ3,ENG,9,14,64.29
2022,1,FPLARIOT,-,2,13,15.38
2022,1,FPLARIOT,ENG,10,13,76.92
2022,1,FPLARIOT,ENG/PG(T3),1,13,7.69
2022,1,FPLDCSTP,ENG,3,3,100.0
2022,1,FPLDWPBR,-,8,33,24.24
2022,1,FPLDWPBR,ENG,23,33,69.7
2022,1,FPLDWPBR,PG,2,33,6.06
2022,1,FPLEDSTP,ENG,2,3,66.67
2022,1,FPLEDSTP,NEG,1,3,33.33
2022,1,FPLFHAD,-,1,1,100.0
2022,1,FPLHRSP,ENG,2,3,66.67
2022,1,FPLHRSP,NEG,1,3,33.33
2022,1,FPLINASC,-,2,30,6.67
2022,1,FPLINASC,ENG,20,30,66.67
2022,1,FPLINASC,NEG,7,30,23.33
2022,1,FPLINASC,PG,1,30,3.33
2022,1,FPLN945,ENG,1,1,100.0
2022,1,FPLNEASP,-,1,2,50.0
2022,1,FPLNEASP,ENG/PG(T3),1,2,50.0
2022,1,FPLNEESP,ENG,5,7,71.43
2022,1,FPLNEESP,NEG,2,7,28.57
2022,1,FPLNSUB1,-,1,1,100.0
2022,1,FPLNSUB2,-,1,1,100.0
2022,1,FPLNSUB3,-,1,1,100.0
2022,1,FPLONSCH,-,4,13,30.77
2022,1,FPLONSCH,ENG,9,13,69.23
2022,1,FPLPMPH2,-,1,5,20.0
2022,1,FPLPMPH2,ENG,3,5,60.0
2022,1,FPLPMPH2,PG,1,5,20.0
2022,1,FPLPTHZ1,-,1,2,50.0
2022,1,FPLPTHZ1,ENG,1,2,50.0
2022,1,FPLQUSTP,-,3,4,75.0
2022,1,FPLQUSTP,ENG,1,4,25.0
2022,1,FPLSCSTP,-,1,29,3.45
2022,1,FPLSCSTP,ENG,20,29,68.97
2022,1,FPLSCSTP,NEG,5,29,17.24
2022,1,FPLSCSTP,PG,3,29,10.34
2022,1,FPSNSSTP,-,3,14,21.43
2022,1,FPSNSSTP,ENG,7,14,50.0
2022,1,FPSNSSTP,NEG,3,14,21.43
2022,1,FPSNSSTP,Unknown,1,14,7.14
2022,1,M11102MZ,ENG,4,5,80.0
2022,1,M11102MZ,NEG,1,5,20.0
2022,1,MH101OPS,-,3,12,25.0
2022,1,MH101OPS,ENG,8,12,66.67
2022,1,MH101OPS,NEG,1,12,8.33
2022,1,MH1100M1,ENG,3,3,100.0
2022,1,MH1105M1,-,4,17,23.53
2022,1,MH1105M1,ENG,11,17,64.71
2022,1,MH1105M1,NEG,2,17,11.76
2022,1,MH1107M1,ENG,4,4,100.0
2022,1,MH1108M1,ENG,4,6,66.67
2022,1,MH1108M1,NEG,2,6,33.33
2022,1,MH1109M1,-,1,3,33.33
2022,1,MH1109M1,ENG,2,3,66.67
2022,1,MH1110D1,ENG,4,4,100.0
2022,1,MH1113M1,-,1,4,25.0
2022,1,MH1113M1,ENG,2,4,50.0
2022,1,MH1113M1,NEG,1,4,25.0
2022,1,MH1114D1,-,2,9,22.22
2022,1,MH1114D1,ENG,7,9,77.78
2022,1,MH1118D1,-,7,19,36.84
2022,1,MH1118D1,ENG,8,19,42.11
2022,1,MH1118D1,MBA,1,19,5.26
2022,1,MH1118D1,NEG,2,19,10.53
2022,1,MH1118D1,PG,1,19,5.26
2022,1,MH1119M1,ENG,2,2,100.0
2022,1,MH1126D1,-,1,2,50.0
2022,1,MH1126D1,ENG,1,2,50.0
2022,1,MH1129D1,ENG,8,8,100.0
2022,1,MH1135D1,ENG,7,9,77.78
2022,1,MH1135D1,NEG,2,9,22.22
2022,1,MH1140D2,-,3,8,37.5
2022,1,MH1140D2,ENG,5,8,62.5
2022,1,MH1140M2,ENG,6,6,100.0
2022,1,MH1142M1,-,2,2,100.0
2022,1,MH1147D1,-,2,8,25.0
2022,1,MH1147D1,ENG,3,8,37.5
2022,1,MH1147D1,NEG,3,8,37.5
2022,1,MH1149M1,ENG,2,3,66.67
2022,1,MH1149M1,NEG,1,3,33.33
2022,1,MH1151M1,ENG,3,3,100.0
2022,1,MH1153M1,-,1,6,16.67
2022,1,MH1153M1,ENG,5,6,83.33
2022,1,MH1154M1,-,4,24,16.67
2022,1,MH1154M1,ENG,18,24,75.0
2022,1,MH1154M1,ENG/PG(T3),1,24,4.17
2022,1,MH1154M1,NEG,1,24,4.17
2022,1,MH1155M1,-,14,39,35.9
2022,1,MH1155M1,ENG,17,39,43.59
2022,1,MH1155M1,ENG/PG(T3),3,39,7.69
2022,1,MH1155M1,NEG,5,39,12.82
2022,1,MH1156M1,-,1,4,25.0
2022,1,MH1156M1,ENG,3,4,75.0
2022,1,MH1159M1,ENG,4,5,80.0
2022,1,MH1159M1,ENG/PG(T3),1,5,20.0
2022,1,MH1160M1,-,9,36,25.0
2022,1,MH1160M1,ENG,23,36,63.89
2022,1,MH1160M1,ENG/PG(T3),2,36,5.56
2022,1,MH1160M1,NEG,2,36,5.56
2022,1,MH1165D1,ENG,5,5,100.0
2022,1,MH1167M1,-,2,9,22.22
2022,1,MH1167M1,ENG,5,9,55.56
2022,1,MH1167M1,ENG/PG(T3),1,9,11.11
2022,1,MH1167M1,NEG,1,9,11.11
2022,1,MH1172M1,-,2,5,40.0
2022,1,MH1172M1,ENG,3,5,60.0
2022,1,MH1178M1,-,1,3,33.33
2022,1,MH1178M1,ENG,2,3,66.67
2022,1,MH1181M1,ENG,6,6,100.0
2022,1,MH1188M1,-,3,8,37.5
2022,1,MH1188M1,ENG,5,8,62.5
2022,1,MH1190M1,-,2,2,100.0
2022,1,MH127DM1,-,1,1,100.0
2022,1,MH165HM1,ENG,1,1,100.0
2022,1,MH16DIZ1,ENG,1,2,50.0
2022,1,MH16DIZ1,PG,1,2,50.0
2022,1,MH18RM26,-,1,6,16.67
2022,1,MH18RM26,ENG,4,6,66.67
2022,1,MH18RM26,NEG,1,6,16.67
2022,1,MH18RM27,-,1,4,25.0
2022,1,MH18RM27,ENG,3,4,75.0
2022,1,MH18RM28,ENG,5,5,100.0
2022,1,MH2355D2,-,3,12,25.0
2022,1,MH2355D2,ENG,8,12,66.67
2022,1,MH2355D2,PG,1,12,8.33
2022,1,MH301HMZ,-,55,223,24.66
