fiscal_year,quarter,master_project_code,role_category,employee_count,total_employees,percentage
2022,1,FPL791ST,Others,1,1,100.0
2022,1,FPL869HT,Management,2,23,8.7
2022,1,FPL869HT,Others,2,23,8.7
2022,1,FPL869HT,Technology,19,23,82.61
2022,1,FPL870ST,Business,2,29,6.9
2022,1,FPL870ST,Consulting,8,29,27.59
2022,1,FPL870ST,Management,1,29,3.45
2022,1,FPL870ST,Others,3,29,10.34
2022,1,FPL870ST,Technology,15,29,51.72
2022,1,FPLAMPZ3,Business,4,17,23.53
2022,1,FPLAMPZ3,Consulting,11,17,64.71
2022,1,FPLAMPZ3,Others,1,17,5.88
2022,1,FPLAMPZ3,Technology,1,17,5.88
2022,1,FPLARIOT,Consulting,2,15,13.33
2022,1,FPLARIOT,Management,1,15,6.67
2022,1,FPLARIOT,Others,1,15,6.67
2022,1,FPLARIOT,Technology,11,15,73.33
2022,1,FPLDCSTP,Management,1,3,33.33
2022,1,FPLDCSTP,Technology,2,3,66.67
2022,1,FPLDWPBR,Consulting,1,35,2.86
2022,1,FPLDWPBR,Management,3,35,8.57
2022,1,FPLDWPBR,Others,1,35,2.86
2022,1,FPLDWPBR,Technology,30,35,85.71
2022,1,FPLEDSTP,Consulting,1,4,25.0
2022,1,FPLEDSTP,Others,1,4,25.0
2022,1,FPLEDSTP,Technology,2,4,50.0
2022,1,FPLFHAD,Others,1,1,100.0
2022,1,FPLHRSP,Consulting,1,4,25.0
2022,1,FPLHRSP,Others,1,4,25.0
2022,1,FPLHRSP,Technology,2,4,50.0
2022,1,FPLINASC,Business,4,38,10.53
2022,1,FPLINASC,Consulting,8,38,21.05
2022,1,FPLINASC,Others,5,38,13.16
2022,1,FPLINASC,Technology,21,38,55.26
2022,1,FPLN945,Technology,1,1,100.0
2022,1,FPLNEASP,Business,1,3,33.33
2022,1,FPLNEASP,Consulting,1,3,33.33
2022,1,FPLNEASP,Others,1,3,33.33
2022,1,FPLNEESP,Consulting,3,7,42.86
2022,1,FPLNEESP,Technology,4,7,57.14
