fiscal_year,quarter,master_project_code,tenure_category,employee_count,total_employees,percentage
2022,1,FPL791ST,Unknown,1,1,100.0
2022,1,FPL869HT,0 - <3,8,22,36.36
2022,1,FPL869HT,12 - <15,4,22,18.18
2022,1,FPL869HT,3 - <6,5,22,22.73
2022,1,FPL869HT,6 - <9,1,22,4.55
2022,1,FPL869HT,9 - <12,2,22,9.09
2022,1,FPL869HT,>15,1,22,4.55
2022,1,FPL869HT,Unknown,1,22,4.55
2022,1,FPL870ST,0 - <3,4,27,14.81
2022,1,FPL870ST,3 - <6,8,27,29.63
2022,1,FPL870ST,6 - <9,7,27,25.93
2022,1,FPL870ST,9 - <12,3,27,11.11
2022,1,FPL870ST,>15,4,27,14.81
2022,1,FPL870ST,Unknown,1,27,3.7
2022,1,FPLAMPZ3,12 - <15,2,14,14.29
2022,1,FPLAMPZ3,3 - <6,2,14,14.29
2022,1,FPLAMPZ3,6 - <9,8,14,57.14
2022,1,FPLAMPZ3,9 - <12,2,14,14.29
2022,1,FPLARIOT,0 - <3,3,13,23.08
2022,1,FPLARIOT,6 - <9,4,13,30.77
2022,1,FPLARIOT,>15,5,13,38.46
2022,1,FPLARIOT,Unknown,1,13,7.69
2022,1,FPLDCSTP,3 - <6,1,3,33.33
2022,1,FPLDCSTP,>15,2,3,66.67
2022,1,FPLDWPBR,0 - <3,3,33,9.09
2022,1,FPLDWPBR,12 - <15,4,33,12.12
2022,1,FPLDWPBR,3 - <6,7,33,21.21
2022,1,FPLDWPBR,6 - <9,9,33,27.27
2022,1,FPLDWPBR,9 - <12,6,33,18.18
2022,1,FPLDWPBR,>15,3,33,9.09
2022,1,FPLDWPBR,Unknown,1,33,3.03
2022,1,FPLEDSTP,3 - <6,1,3,33.33
2022,1,FPLEDSTP,>15,2,3,66.67
2022,1,FPLFHAD,Unknown,1,1,100.0
2022,1,FPLHRSP,0 - <3,1,3,33.33
2022,1,FPLHRSP,6 - <9,1,3,33.33
2022,1,FPLHRSP,9 - <12,1,3,33.33
2022,1,FPLINASC,0 - <3,7,30,23.33
2022,1,FPLINASC,12 - <15,1,30,3.33
2022,1,FPLINASC,3 - <6,10,30,33.33
2022,1,FPLINASC,6 - <9,4,30,13.33
2022,1,FPLINASC,9 - <12,3,30,10.0
2022,1,FPLINASC,>15,5,30,16.67
2022,1,FPLN945,0 - <3,1,1,100.0
2022,1,FPLNEASP,3 - <6,1,2,50.0
2022,1,FPLNEASP,Unknown,1,2,50.0
2022,1,FPLNEESP,0 - <3,1,7,14.29
2022,1,FPLNEESP,12 - <15,3,7,42.86
2022,1,FPLNEESP,3 - <6,1,7,14.29
2022,1,FPLNEESP,9 - <12,2,7,28.57
2022,1,FPLNSUB1,Unknown,1,1,100.0
2022,1,FPLNSUB2,Unknown,1,1,100.0
2022,1,FPLNSUB3,Unknown,1,1,100.0
2022,1,FPLONSCH,0 - <3,2,13,15.38
2022,1,FPLONSCH,12 - <15,2,13,15.38
2022,1,FPLONSCH,3 - <6,5,13,38.46
2022,1,FPLONSCH,6 - <9,3,13,23.08
2022,1,FPLONSCH,9 - <12,1,13,7.69
2022,1,FPLPMPH2,6 - <9,2,5,40.0
2022,1,FPLPMPH2,9 - <12,2,5,40.0
2022,1,FPLPMPH2,>15,1,5,20.0
2022,1,FPLPTHZ1,6 - <9,1,2,50.0
2022,1,FPLPTHZ1,>15,1,2,50.0
2022,1,FPLQUSTP,6 - <9,2,4,50.0
2022,1,FPLQUSTP,9 - <12,1,4,25.0
2022,1,FPLQUSTP,>15,1,4,25.0
2022,1,FPLSCSTP,0 - <3,6,29,20.69
2022,1,FPLSCSTP,12 - <15,3,29,10.34
2022,1,FPLSCSTP,3 - <6,7,29,24.14
2022,1,FPLSCSTP,6 - <9,6,29,20.69
2022,1,FPLSCSTP,9 - <12,4,29,13.79
2022,1,FPLSCSTP,>15,3,29,10.34
2022,1,FPSNSSTP,0 - <3,4,14,28.57
2022,1,FPSNSSTP,3 - <6,3,14,21.43
2022,1,FPSNSSTP,6 - <9,4,14,28.57
2022,1,FPSNSSTP,>15,3,14,21.43
2022,1,M11102MZ,3 - <6,1,5,20.0
2022,1,M11102MZ,6 - <9,1,5,20.0
2022,1,M11102MZ,9 - <12,1,5,20.0
2022,1,M11102MZ,>15,2,5,40.0
2022,1,MH101OPS,0 - <3,2,12,16.67
2022,1,MH101OPS,12 - <15,1,12,8.33
2022,1,MH101OPS,3 - <6,4,12,33.33
2022,1,MH101OPS,9 - <12,2,12,16.67
2022,1,MH101OPS,>15,2,12,16.67
2022,1,MH101OPS,Unknown,1,12,8.33
2022,1,MH1100M1,3 - <6,1,3,33.33
2022,1,MH1100M1,9 - <12,1,3,33.33
2022,1,MH1100M1,>15,1,3,33.33
2022,1,MH1105M1,0 - <3,3,17,17.65
2022,1,MH1105M1,12 - <15,3,17,17.65
2022,1,MH1105M1,3 - <6,8,17,47.06
2022,1,MH1105M1,6 - <9,2,17,11.76
2022,1,MH1105M1,>15,1,17,5.88
2022,1,MH1107M1,0 - <3,2,4,50.0
2022,1,MH1107M1,9 - <12,1,4,25.0
2022,1,MH1107M1,>15,1,4,25.0
2022,1,MH1108M1,12 - <15,1,6,16.67
2022,1,MH1108M1,3 - <6,4,6,66.67
2022,1,MH1108M1,6 - <9,1,6,16.67
2022,1,MH1109M1,12 - <15,1,3,33.33
2022,1,MH1109M1,3 - <6,1,3,33.33
2022,1,MH1109M1,>15,1,3,33.33
2022,1,MH1110D1,0 - <3,1,4,25.0
2022,1,MH1110D1,3 - <6,2,4,50.0
2022,1,MH1110D1,6 - <9,1,4,25.0
2022,1,MH1113M1,3 - <6,1,4,25.0
2022,1,MH1113M1,9 - <12,1,4,25.0
2022,1,MH1113M1,>15,2,4,50.0
2022,1,MH1114D1,0 - <3,2,9,22.22
2022,1,MH1114D1,12 - <15,1,9,11.11
2022,1,MH1114D1,3 - <6,3,9,33.33
2022,1,MH1114D1,6 - <9,2,9,22.22
2022,1,MH1114D1,>15,1,9,11.11
2022,1,MH1118D1,0 - <3,2,19,10.53
2022,1,MH1118D1,12 - <15,2,19,10.53
2022,1,MH1118D1,3 - <6,6,19,31.58
2022,1,MH1118D1,9 - <12,2,19,10.53
2022,1,MH1118D1,>15,6,19,31.58
2022,1,MH1118D1,Unknown,1,19,5.26
2022,1,MH1119M1,3 - <6,1,2,50.0
2022,1,MH1119M1,6 - <9,1,2,50.0
2022,1,MH1126D1,0 - <3,1,2,50.0
2022,1,MH1126D1,6 - <9,1,2,50.0
2022,1,MH1129D1,12 - <15,1,8,12.5
2022,1,MH1129D1,3 - <6,1,8,12.5
2022,1,MH1129D1,6 - <9,2,8,25.0
2022,1,MH1129D1,9 - <12,1,8,12.5
2022,1,MH1129D1,>15,3,8,37.5
2022,1,MH1135D1,0 - <3,2,9,22.22
2022,1,MH1135D1,12 - <15,1,9,11.11
2022,1,MH1135D1,3 - <6,3,9,33.33
2022,1,MH1135D1,6 - <9,1,9,11.11
2022,1,MH1135D1,9 - <12,1,9,11.11
2022,1,MH1135D1,>15,1,9,11.11
2022,1,MH1140D2,0 - <3,2,8,25.0
2022,1,MH1140D2,12 - <15,1,8,12.5
2022,1,MH1140D2,3 - <6,1,8,12.5
2022,1,MH1140D2,6 - <9,1,8,12.5
2022,1,MH1140D2,9 - <12,1,8,12.5
2022,1,MH1140D2,>15,2,8,25.0
2022,1,MH1140M2,12 - <15,3,6,50.0
2022,1,MH1140M2,9 - <12,1,6,16.67
2022,1,MH1140M2,>15,2,6,33.33
2022,1,MH1142M1,0 - <3,1,2,50.0
2022,1,MH1142M1,3 - <6,1,2,50.0
2022,1,MH1147D1,3 - <6,3,8,37.5
2022,1,MH1147D1,6 - <9,1,8,12.5
2022,1,MH1147D1,>15,4,8,50.0
2022,1,MH1149M1,3 - <6,2,3,66.67
2022,1,MH1149M1,6 - <9,1,3,33.33
2022,1,MH1151M1,0 - <3,1,3,33.33
2022,1,MH1151M1,3 - <6,1,3,33.33
2022,1,MH1151M1,>15,1,3,33.33
2022,1,MH1153M1,12 - <15,1,6,16.67
2022,1,MH1153M1,3 - <6,1,6,16.67
2022,1,MH1153M1,>15,4,6,66.67
2022,1,MH1154M1,0 - <3,5,24,20.83
2022,1,MH1154M1,3 - <6,10,24,41.67
2022,1,MH1154M1,6 - <9,3,24,12.5
2022,1,MH1154M1,9 - <12,2,24,8.33
2022,1,MH1154M1,>15,4,24,16.67
2022,1,MH1155M1,0 - <3,27,39,69.23
2022,1,MH1155M1,12 - <15,1,39,2.56
2022,1,MH1155M1,3 - <6,6,39,15.38
2022,1,MH1155M1,9 - <12,2,39,5.13
2022,1,MH1155M1,>15,2,39,5.13
2022,1,MH1155M1,Unknown,1,39,2.56
2022,1,MH1156M1,0 - <3,1,4,25.0
2022,1,MH1156M1,3 - <6,1,4,25.0
2022,1,MH1156M1,6 - <9,1,4,25.0
2022,1,MH1156M1,>15,1,4,25.0
2022,1,MH1159M1,0 - <3,1,5,20.0
2022,1,MH1159M1,3 - <6,1,5,20.0
2022,1,MH1159M1,6 - <9,1,5,20.0
2022,1,MH1159M1,9 - <12,1,5,20.0
2022,1,MH1159M1,>15,1,5,20.0
2022,1,MH1160M1,0 - <3,10,36,27.78
2022,1,MH1160M1,12 - <15,2,36,5.56
2022,1,MH1160M1,3 - <6,6,36,16.67
2022,1,MH1160M1,6 - <9,2,36,5.56
2022,1,MH1160M1,9 - <12,6,36,16.67
2022,1,MH1160M1,>15,9,36,25.0
2022,1,MH1160M1,Unknown,1,36,2.78
2022,1,MH1165D1,0 - <3,1,5,20.0
2022,1,MH1165D1,3 - <6,1,5,20.0
2022,1,MH1165D1,6 - <9,1,5,20.0
2022,1,MH1165D1,>15,2,5,40.0
2022,1,MH1167M1,0 - <3,4,9,44.44
2022,1,MH1167M1,3 - <6,5,9,55.56
2022,1,MH1172M1,3 - <6,2,5,40.0
2022,1,MH1172M1,9 - <12,1,5,20.0
2022,1,MH1172M1,>15,2,5,40.0
2022,1,MH1178M1,0 - <3,1,3,33.33
2022,1,MH1178M1,6 - <9,1,3,33.33
2022,1,MH1178M1,>15,1,3,33.33
2022,1,MH1181M1,0 - <3,1,6,16.67
2022,1,MH1181M1,12 - <15,1,6,16.67
2022,1,MH1181M1,9 - <12,2,6,33.33
2022,1,MH1181M1,>15,2,6,33.33
2022,1,MH1188M1,0 - <3,3,8,37.5
2022,1,MH1188M1,3 - <6,2,8,25.0
2022,1,MH1188M1,>15,3,8,37.5
2022,1,MH1190M1,0 - <3,2,2,100.0
2022,1,MH127DM1,6 - <9,1,1,100.0
2022,1,MH165HM1,>15,1,1,100.0
2022,1,MH16DIZ1,12 - <15,1,2,50.0
2022,1,MH16DIZ1,3 - <6,1,2,50.0
2022,1,MH18RM26,0 - <3,1,6,16.67
2022,1,MH18RM26,3 - <6,2,6,33.33
2022,1,MH18RM26,9 - <12,1,6,16.67
2022,1,MH18RM26,>15,2,6,33.33
2022,1,MH18RM27,9 - <12,2,4,50.0
2022,1,MH18RM27,>15,2,4,50.0
2022,1,MH18RM28,6 - <9,2,5,40.0
2022,1,MH18RM28,9 - <12,2,5,40.0
2022,1,MH18RM28,>15,1,5,20.0
2022,1,MH2355D2,12 - <15,1,12,8.33
2022,1,MH2355D2,3 - <6,2,12,16.67
2022,1,MH2355D2,6 - <9,2,12,16.67
2022,1,MH2355D2,9 - <12,2,12,16.67
2022,1,MH2355D2,>15,5,12,41.67
2022,1,MH301HMZ,0 - <3,57,223,25.56
2022,1,MH301HMZ,12 - <15,23,223,10.31
2022,1,MH301HMZ,3 - <6,58,223,26.01
2022,1,MH301HMZ,6 - <9,21,223,9.42
2022,1,MH301HMZ,9 - <12,20,223,8.97
2022,1,MH301HMZ,>15,43,223,19.28
2022,1,MH301HMZ,Unknown,1,223,0.45
2022,1,MH315DM1,12 - <15,1,2,50.0
2022,1,MH315DM1,>15,1,2,50.0
2022,1,MH320HM1,0 - <3,1,4,25.0
2022,1,MH320HM1,9 - <12,1,4,25.0
2022,1,MH320HM1,>15,2,4,50.0
2022,1,MH345SDE,0 - <3,4,8,50.0
2022,1,MH345SDE,12 - <15,1,8,12.5
2022,1,MH345SDE,3 - <6,2,8,25.0
2022,1,MH345SDE,>15,1,8,12.5
2022,1,MH355HM1,0 - <3,1,9,11.11
2022,1,MH355HM1,3 - <6,1,9,11.11
2022,1,MH355HM1,6 - <9,1,9,11.11
2022,1,MH355HM1,9 - <12,3,9,33.33
2022,1,MH355HM1,>15,3,9,33.33
2022,1,MH361HM1,0 - <3,2,5,40.0
2022,1,MH361HM1,6 - <9,1,5,20.0
2022,1,MH361HM1,>15,2,5,40.0
2022,1,MH367HM1,0 - <3,1,4,25.0
2022,1,MH367HM1,6 - <9,2,4,50.0
2022,1,MH367HM1,>15,1,4,25.0
2022,1,MH369HM1,0 - <3,5,17,29.41
