master_project_code,fiscal_year,quarter,team_size_fte,manager_fte
AEILMO43,2024,2,47.79,4.0
AEILMO43,2024,3,0.67,0.0
AEILMO44,2024,3,18.6,0.0
AEILMO44,2024,4,6.81,1.36
AEILMO45,2024,3,13.85,1.37
AEILMO46,2024,4,0.04,0.0
AEILMO47,2025,1,12.99,0.33
AEILMO48,2025,2,19.23,0.0
AEILMO48,2025,3,22.02,0.0
AEILMO48,2025,4,21.03,0.34
AEILMO48,2026,1,6.92,0.33
AEILMO49,2025,2,1.87,0.0
AEILMO50,2025,3,9.03,1.49
AEILMO50,2025,4,2.42,0.67
AEILMO50,2026,1,1.75,0.0
AEILMO50,2026,2,1.18,0.0
CSMIC083,2022,3,2.52,0.0
CSMIC083,2022,4,4.0,0.0
CSMIC083,2023,1,4.0,0.0
CSMIC084,2022,4,1.91,0.0
CSMIC084,2023,1,4.4,0.0
FL4115WD,2024,3,16.0,0.0
FL4115WD,2024,4,13.85,0.0
FP4115WD,2024,2,4.7,0.0
FPL142MC,2022,4,12.44,0.0
FPL142MC,2023,1,8.0,0.0
FPL142MC,2023,2,4.48,0.0
FPL142MC,2023,3,4.0,0.0
FPL142MC,2023,4,5.16,0.0
FPL142MC,2024,1,8.0,0.0
FPL411WD,2023,4,4.0,0.0
FPL411WD,2024,1,4.0,0.0
FPL411WD,2024,2,4.0,0.0
FPL411WD,2024,3,4.0,0.0
FPL417WD,2023,4,10.62,1.97
FPL417WD,2024,1,12.0,3.0
FPL427WD,2023,4,3.29,0.0
FPL427WD,2024,1,4.0,0.0
FPL427WD,2024,2,4.0,0.0
FPL427WD,2024,3,4.0,0.0
FPL427WD,2024,4,0.7,0.0
FPL445WD,2024,1,4.0,0.0
FPL445WD,2024,2,4.0,0.0
FPL445WD,2024,3,4.0,0.0
FPL447HT,2024,1,1.32,0.0
FPL447HT,2024,2,0.61,0.0
FPL448US,2024,1,0.33,0.0
FPL448US,2024,2,0.15,0.0
FPL791ST,2022,1,4.0,0.0
FPL791ST,2022,2,4.0,0.0
FPL791ST,2022,3,2.7,0.0
FPL869HT,2022,1,59.9,6.68
FPL869HT,2022,2,88.13,8.0
